loan_id,issue_date,grade,sub_grade,term,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,home_ownership,purpose,application_type,default_12m,origination_z,issue_year,lgd,ead,eir,pd_test_baseline,pd_test_adverse,lifetime_pd_baseline,lifetime_pd_adverse,stage_baseline,stage_adverse,sicr_baseline,sicr_adverse,ecl_baseline,ecl_adverse
2,2025-08-06,B,B3,36,0.0856,15000,155146,9.27,0,1,10,0,6821,52.4,10,1,RENT,debt_consolidation,Individual,0,-0.48320572221742286,2025,0.35,15300.0,0.0856,0.13479763677004378,0.257982599886325,0.17479763677004378,0.35798259988632497,1,1,0,0,252.2411117000762,482.75191875666474
3,2023-12-15,E,E4,60,0.1466,15000,66042,0.0,1,2,12,0,1301,39.9,17,8,RENT,debt_consolidation,Individual,0,-0.15257726018505652,2023,0.65,15300.0,0.1466,0.12221343563149653,0.2338983132103412,0.16221343563149654,0.33389831321034125,1,1,0,0,443.5259975082648,848.8427000360142
4,2020-12-30,B,B2,36,0.0743,15000,111856,24.38,0,0,7,0,29356,100.0,13,5,MORTGAGE,other,Individual,0,0.8640024985787829,2020,0.35,15300.0,0.0743,0.1021620041575003,0.1955228598488798,0.1421620041575003,0.2955228598488798,1,1,0,0,254.8943040692569,487.82973378221646
5,2020-11-30,C,C5,36,0.0954,25000,49233,29.39,0,1,16,0,13102,25.3,18,8,OWN,other,Individual,0,0.5577506947332821,2020,0.45,25500.0,0.0954,0.09949124761370581,0.19041142960914254,0.13949124761370582,0.29041142960914257,1,1,0,0,535.6809336346854,1025.2135221358837
6,2026-09-30,B,B1,60,0.0716,35000,88725,21.56,0,1,13,0,6461,75.6,19,5,MORTGAGE,credit_card,Individual,0,0.1022325365530995,2026,0.35,35700.0,0.0716,0.10308981324057288,0.19729854824509063,0.14308981324057288,0.2972985482450906,1,1,0,0,596.2519149033279,1141.1373587830178
8,2024-07-12,A,A5,36,0.0524,35000,56758,19.44,0,1,10,0,33533,42.7,33,1,RENT,other,Individual,0,-0.775574809435447,2024,0.3,35700.0,0.0524,0.13680214117459522,0.2618189227637947,0.17680214117459522,0.3618189227637947,1,1,0,0,520.3970939977246,995.9625294607281
11,2022-02-23,B,B3,60,0.0783,35000,41309,35.49,0,3,8,0,5899,42.3,22,6,RENT,home_improvement,Individual,0,0.8825109315789375,2022,0.35,35700.0,0.0783,0.10530126725241762,0.20153094184764328,0.14530126725241763,0.3015309418476433,1,1,0,0,592.5471130579674,1134.0469198477992
12,2028-04-22,A,A2,36,0.0451,10000,29040,25.1,0,1,13,0,8578,36.2,31,6,MORTGAGE,home_improvement,Individual,0,1.3584580238150448,2028,0.3,10200.0,0.0451,0.10037825356721566,0.19210902689262827,0.14037825356721567,0.2921090268926283,1,1,0,0,149.72344457077392,286.54837295254606
13,2025-01-08,F,F3,36,0.1683,15000,84179,23.18,1,2,2,0,2287,79.8,33,7,MORTGAGE,home_improvement,Individual,1,-0.9160160250115243,2025,0.75,15300.0,0.1683,0.19635634780733704,0.37579680419722133,0.23635634780733705,0.47579680419722137,3,3,0,0,2160.5692940653134,4157.041931555094
14,2025-06-07,A,A2,60,0.0512,35000,82456,17.59,1,0,12,0,26669,36.1,8,7,MORTGAGE,medical,Individual,0,-0.019826101031090282,2025,0.3,35700.0,0.0512,0.08890407531359606,0.17014915869050448,0.12890407531359607,0.2701491586905045,1,1,0,0,520.9911546073112,997.0994729875099
15,2024-10-10,C,C2,60,0.1011,25000,69148,21.73,0,1,8,0,1496,36.1,22,7,MORTGAGE,debt_consolidation,Individual,0,-1.5101057658633692,2024,0.45,25500.0,0.1011,0.15273429048436438,0.29231068359283013,0.19273429048436438,0.39231068359283017,1,1,0,0,532.9079054612972,1019.9063592295404
16,2025-10-05,C,C5,60,0.1003,35000,108578,11.49,1,1,11,0,17346,28.1,30,5,OWN,home_improvement,Joint App,0,-0.044409929329181974,2025,0.45,35700.0,0.1003,0.1189892307573629,0.22772766529746916,0.1589892307573629,0.32772766529746916,1,1,0,0,746.6135168452314,1428.9070698961243
17,2021-12-25,B,B1,36,0.0786,15000,58144,22.99,0,1,5,0,31746,90.3,14,3,RENT,medical,Individual,0,-0.12032283856609985,2021,0.35,15300.0,0.0786,0.10107157215039489,0.19343593539728707,0.1410715721503949,0.2934359353972871,1,1,0,0,253.8781298549997,485.8849276861071
19,2026-07-02,A,A1,36,0.0573,15000,53620,10.6,1,1,1,0,20275,52.2,30,2,MORTGAGE,credit_card,Individual,0,1.4657484609573224,2026,0.3,15300.0,0.0573,0.09437284547450099,0.180615570254513,0.13437284547450098,0.280615570254513,1,1,0,0,221.99371784864633,424.8629120013797
20,2021-02-28,D,D3,36,0.119,20000,56382,25.34,0,0,8,0,33696,53.4,17,3,MORTGAGE,debt_consolidation,Individual,0,1.3797391395716763,2021,0.55,20400.0,0.119,0.13320838280997926,0.25494100451179696,0.17320838280997927,0.354941004511797,1,1,0,0,512.7303220524499,981.2894698539661
21,2021-10-26,B,B4,36,0.0825,35000,78375,0.0,0,1,11,0,12318,15.1,27,7,RENT,debt_consolidation,Individual,0,0.48615095125120006,2021,0.35,35700.0,0.0825,0.09549879435120155,0.18277046870459362,0.13549879435120155,0.28277046870459366,1,1,0,0,590.2480849980658,1129.64692256063
22,2020-01-05,B,B5,60,0.0844,20000,226110,13.1,1,2,15,0,14391,38.3,37,4,MORTGAGE,other,Individual,0,0.4386741688129359,2020,0.35,20400.0,0.0844,0.10565198150057595,0.202202156682896,0.14565198150057596,0.302202156682896,1,1,0,0,336.6936565370745,644.3815111302534
24,2027-08-26,F,F1,36,0.1667,35000,87893,29.02,0,0,7,0,8554,29.9,18,9,MORTGAGE,debt_consolidation,Individual,0,0.88949549604,2027,0.75,35700.0,0.1667,0.19191212128430213,0.367291216559567,0.23191212128430214,0.46729121655956696,1,1,0,0,1173.5362597994458,2245.973613620619
25,2025-09-05,D,D4,60,0.1181,35000,99462,22.25,0,0,13,0,2871,47.7,27,0,RENT,debt_consolidation,Individual,0,-0.5620585017578206,2025,0.55,35700.0,0.1181,0.11608157914354734,0.22216285317709447,0.15608157914354734,0.3221628531770945,1,1,0,0,898.0003158565512,1718.638855506242
26,2023-10-16,F,F5,36,0.1727,10000,20000,11.95,1,0,9,0,7576,52.8,25,7,OWN,home_improvement,Individual,0,0.2800633672575088,2023,0.75,10200.0,0.1727,0.1370703750654273,0.2623322824798299,0.1770703750654273,0.36233228247982996,1,1,0,0,333.5805660461239,638.4235195973093
27,2020-07-03,C,C3,60,0.1101,15000,77473,17.54,0,1,9,0,5908,37.8,17,0,MORTGAGE,credit_card,Individual,0,0.37947831750372485,2020,0.45,15300.0,0.1101,0.12810140930282293,0.2451670178567166,0.16810140930282294,0.3451670178567166,1,1,0,0,317.15245187105717,606.9825558855852
28,2026-04-03,D,D1,36,0.1251,35000,107248,20.62,3,0,11,0,52308,95.2,22,4,OWN,home_improvement,Individual,0,1.0065396195877447,2026,0.55,35700.0,0.1251,0.13655273512181454,0.26134159672555335,0.17655273512181455,0.3613415967255533,1,1,0,0,892.4132549633011,1707.946053098862
29,2022-06-23,C,C3,36,0.0969,20000,68089,32.04,0,1,10,0,7481,28.6,29,7,MORTGAGE,debt_consolidation,Individual,0,0.13633167627753218,2022,0.45,20400.0,0.0969,0.11229093394065344,0.21490812284115046,0.15229093394065343,0.31490812284115044,1,1,0,0,427.958716166239,819.0492421534484
30,2021-01-29,F,F2,36,0.1716,20000,63474,26.29,0,1,18,0,7750,51.5,24,6,RENT,credit_card,Individual,0,0.738360459617036,2021,0.75,20400.0,0.1716,0.13795825289659275,0.26403154840729015,0.17795825289659276,0.36403154840729013,1,1,0,0,667.7875210008357,1278.0458542706804
31,2021-02-28,C,C3,36,0.0934,10000,38761,26.35,0,2,9,0,9664,48.1,14,3,MORTGAGE,debt_consolidation,Individual,0,1.3797391395716763,2021,0.45,10200.0,0.0934,0.11998780703253298,0.22963879155921998,0.15998780703253299,0.32963879155922,1,1,0,0,214.66431121398736,410.8355193516177
34,2022-07-23,C,C5,36,0.1105,20000,112630,5.35,1,2,6,0,20706,24.1,19,1,OWN,debt_consolidation,Individual,0,-0.26970071424568565,2022,0.45,20400.0,0.1105,0.13176689912885312,0.2521822194421074,0.17176689912885312,0.35218221944210737,1,1,0,0,422.71761887685506,809.0185625557114
35,2027-02-27,A,A1,36,0.0531,25000,148458,15.29,0,1,9,0,7380,61.3,7,2,MORTGAGE,debt_consolidation,Individual,0,0.4791662089923643,2027,0.3,25500.0,0.0531,0.0873458490051477,0.16716694561988102,0.1273458490051477,0.267166945619881,1,1,0,0,371.46513132873383,710.9289349841084
37,2026-09-30,B,B3,36,0.0738,15000,40726,13.48,1,1,10,0,3244,69.6,26,6,MORTGAGE,debt_consolidation,Individual,0,0.1022325365530995,2026,0.35,15300.0,0.0738,0.11227643152891918,0.21488036738509445,0.15227643152891918,0.31488036738509445,1,1,0,0,255.01299204842863,488.05688489684775
38,2026-05-03,E,E3,60,0.1445,20000,45004,23.15,1,2,13,0,6982,64.7,18,10,MORTGAGE,debt_consolidation,Individual,0,1.4025270543896295,2026,0.65,20400.0,0.1445,0.09737854512388235,0.18636803171159055,0.13737854512388234,0.28636803171159053,1,1,0,0,592.453075570673,1133.866946103153
40,2023-08-17,E,E2,60,0.1432,15000,37120,12.24,0,4,12,0,58539,68.4,32,3,MORTGAGE,small_business,Individual,0,-0.15072524015949562,2023,0.65,15300.0,0.1432,0.20510010770151857,0.3925310583305551,0.24510010770151858,0.4925310583305551,1,1,0,0,444.84509162261764,851.3672497037212
42,2025-05-08,D,D2,36,0.1231,20000,48953,24.9,0,1,14,0,2616,47.4,18,2,RENT,home_improvement,Individual,1,-0.8979714381575643,2025,0.55,20400.0,0.1231,0.1014301782606691,0.19412225408120795,0.1414301782606691,0.29412225408120796,2,2,0,0,2077.1222605431453,3997.5369952506862
43,2024-07-12,A,A2,36,0.0548,10000,105146,15.24,1,2,5,0,1269,72.9,13,1,MORTGAGE,credit_card,Individual,0,-0.775574809435447,2024,0.3,10200.0,0.0548,0.09760262065453108,0.18679687890322408,0.13760262065453108,0.2867968789032241,1,1,0,0,148.346579371365,283.9132580325236
46,2028-04-22,B,B2,36,0.0692,10000,137895,25.89,0,4,14,0,5436,19.1,10,4,MORTGAGE,medical,Individual,1,1.3584580238150448,2028,0.35,10200.0,0.0692,0.10465772082754153,0.20029928984086287,0.14465772082754152,0.30029928984086285,3,3,0,0,976.6843143649012,1880.317041633839
47,2021-01-29,B,B4,36,0.0765,20000,76034,23.75,0,0,11,0,6631,64.4,38,2,MORTGAGE,home_improvement,Individual,0,0.738360459617036,2021,0.35,20400.0,0.0765,0.09999571235144811,0.19137689998171106,0.13999571235144811,0.29137689998171107,1,1,0,0,339.1645156979132,649.1103675519246
48,2027-03-29,B,B1,36,0.0739,10000,127792,16.4,0,1,13,0,10561,31.2,24,8,RENT,home_improvement,Individual,0,0.27590919321032803,2027,0.35,10200.0,0.0739,0.11032803094745854,0.21115141886886238,0.15032803094745853,0.3111514188688624,1,1,0,0,169.99283040730216,325.3409585015582
