loan_id,issue_date,grade,sub_grade,term,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,home_ownership,purpose,application_type,default_12m,origination_z
1,2016-02-25,D,D5,36,0.1228,15000,80350,19.27,1,3,9,1,2901,19.7,9,7,RENT,debt_consolidation,Individual,0,-0.15705998399462762
2,2025-08-06,B,B3,36,0.0856,15000,155146,9.27,0,1,10,0,6821,52.4,10,1,RENT,debt_consolidation,Individual,0,-0.48320572221742286
3,2023-12-15,E,E4,60,0.1466,15000,66042,0.0,1,2,12,0,1301,39.9,17,8,RENT,debt_consolidation,Individual,0,-0.15257726018505652
4,2020-12-30,B,B2,36,0.0743,15000,111856,24.38,0,0,7,0,29356,100.0,13,5,MORTGAGE,other,Individual,0,0.8640024985787829
5,2020-11-30,C,C5,36,0.0954,25000,49233,29.39,0,1,16,0,13102,25.3,18,8,OWN,other,Individual,0,0.5577506947332821
6,2026-09-30,B,B1,60,0.0716,35000,88725,21.56,0,1,13,0,6461,75.6,19,5,MORTGAGE,credit_card,Individual,0,0.1022325365530995
7,2016-02-25,C,C2,36,0.1067,25000,43157,2.6,0,0,1,0,1842,34.4,21,8,MORTGAGE,credit_card,Individual,0,-0.15705998399462762
8,2024-07-12,A,A5,36,0.0524,35000,56758,19.44,0,1,10,0,33533,42.7,33,1,RENT,other,Individual,0,-0.775574809435447
9,2017-09-17,A,A3,36,0.0551,20000,57005,13.62,0,1,19,0,5114,78.9,40,5,RENT,home_improvement,Individual,0,-0.9263837757870595
10,2016-03-26,C,C1,60,0.0934,15000,84484,19.45,1,4,12,0,45197,58.7,10,2,RENT,debt_consolidation,Individual,0,-0.5648920355292593
11,2022-02-23,B,B3,60,0.0783,35000,41309,35.49,0,3,8,0,5899,42.3,22,6,RENT,home_improvement,Individual,0,0.8825109315789375
12,2028-04-22,A,A2,36,0.0451,10000,29040,25.1,0,1,13,0,8578,36.2,31,6,MORTGAGE,home_improvement,Individual,0,1.3584580238150448
13,2025-01-08,F,F3,36,0.1683,15000,84179,23.18,1,2,2,0,2287,79.8,33,7,MORTGAGE,home_improvement,Individual,1,-0.9160160250115243
14,2025-06-07,A,A2,60,0.0512,35000,82456,17.59,1,0,12,0,26669,36.1,8,7,MORTGAGE,medical,Individual,0,-0.019826101031090282
15,2024-10-10,C,C2,60,0.1011,25000,69148,21.73,0,1,8,0,1496,36.1,22,7,MORTGAGE,debt_consolidation,Individual,0,-1.5101057658633692
16,2025-10-05,C,C5,60,0.1003,35000,108578,11.49,1,1,11,0,17346,28.1,30,5,OWN,home_improvement,Joint App,0,-0.044409929329181974
17,2021-12-25,B,B1,36,0.0786,15000,58144,22.99,0,1,5,0,31746,90.3,14,3,RENT,medical,Individual,0,-0.12032283856609985
18,2016-09-22,C,C4,60,0.1044,25000,75878,16.26,0,3,9,0,1512,13.6,16,8,RENT,credit_card,Individual,0,0.4459980552593449
19,2026-07-02,A,A1,36,0.0573,15000,53620,10.6,1,1,1,0,20275,52.2,30,2,MORTGAGE,credit_card,Individual,0,1.4657484609573224
20,2021-02-28,D,D3,36,0.119,20000,56382,25.34,0,0,8,0,33696,53.4,17,3,MORTGAGE,debt_consolidation,Individual,0,1.3797391395716763
21,2021-10-26,B,B4,36,0.0825,35000,78375,0.0,0,1,11,0,12318,15.1,27,7,RENT,debt_consolidation,Individual,0,0.48615095125120006
22,2020-01-05,B,B5,60,0.0844,20000,226110,13.1,1,2,15,0,14391,38.3,37,4,MORTGAGE,other,Individual,0,0.4386741688129359
23,2017-06-19,B,B2,36,0.0732,25000,97773,23.52,0,1,20,2,11742,35.7,23,3,RENT,other,Individual,0,-1.2726965538794663
